commune,surface_m2,nbr_chambres,etage,type_logement,distance_centre_km,annee_construction,etat,parking,gardiennage,prix_fcfa
Adjamé,202,3,0,Appartement,10.3,1993,Bon état,1,1,39900000
Koumassi,123,3,0,Villa,6.7,1996,Bon état,1,1,19400000
Adjamé,83,2,1,Appartement,5.1,1992,À rénover,0,0,11000000
Adjamé,124,2,0,Studio,17.5,2008,Neuf,1,1,20300000
Abobo,79,1,1,Appartement,11.6,2013,Bon état,1,0,8800000
Koumassi,75,1,1,Studio,13.4,2006,Neuf,1,0,10800000
Plateau,62,3,0,Appartement,13.4,2012,À rénover,1,0,28600000
Port-Bouet,161,4,0,Appartement,8.2,2008,Neuf,1,1,36800000
Port-Bouet,49,5,3,Studio,4.9,2016,À rénover,1,1,9400000
Cocody,159,3,0,Villa,16.0,2018,Bon état,1,0,46900000
Koumassi,95,2,0,Appartement,20.8,1998,Bon état,0,0,12100000
Plateau,37,1,2,Appartement,0.5,2003,À rénover,0,0,14300000
Yopougon,89,4,5,Villa,0.5,1993,À rénover,0,1,17500000
Koumassi,26,3,1,Villa,25.5,2016,Bon état,1,0,5000000
Plateau,101,3,0,Duplex,2.6,1984,Neuf,1,1,39500000
Koumassi,115,3,2,Duplex,16.5,2003,Bon état,1,1,22800000
Koumassi,55,3,4,Villa,3.9,2013,Bon état,0,1,9600000
Abobo,78,4,3,Appartement,1.0,2010,Bon état,0,0,11300000
Cocody,196,1,2,Appartement,0.7,2009,Bon état,1,0,45100000
Marcory,57,3,1,Villa,1.4,1988,Neuf,1,0,14600000
Abobo,43,4,1,Appartement,2.3,2006,Bon état,1,1,5000000
Treichville,155,2,0,Appartement,5.4,2007,Bon état,1,1,26400000
Abobo,197,3,2,Appartement,9.7,2021,Neuf,1,1,23800000
Marcory,74,2,2,Appartement,34.4,2005,Bon état,0,0,14600000
Abobo,122,5,4,Appartement,4.7,1997,Bon état,1,1,17100000
Abobo,144,1,0,Appartement,5.8,2015,Bon état,1,0,12400000
Koumassi,51,3,0,Studio,5.9,1987,Neuf,1,0,9500000
Cocody,58,2,1,Appartement,6.2,1997,Bon état,0,1,20500000
Koumassi,136,3,2,Appartement,5.8,1999,Bon état,1,0,15600000
Abobo,171,2,3,Appartement,0.5,2011,Bon état,1,1,23300000
Treichville,98,2,0,Villa,0.5,2008,Bon état,0,1,17700000
Yopougon,47,2,0,Appartement,0.8,1997,Bon état,1,1,7400000
Abobo,199,4,1,Villa,0.9,1986,Neuf,1,0,26900000
Port-Bouet,57,2,1,Duplex,9.8,1980,Bon état,0,0,9900000
Cocody,62,1,3,Appartement,1.8,2007,À rénover,1,0,16900000
Port-Bouet,87,3,1,Appartement,18.0,2012,Neuf,1,0,19100000
Adjamé,160,3,3,Appartement,21.1,1983,À rénover,1,1,22700000
Cocody,113,4,2,Duplex,29.8,1999,Bon état,1,1,42800000
Marcory,91,1,3,Studio,22.4,2015,Bon état,0,0,21200000
Adjamé,93,3,1,Studio,2.5,2010,Bon état,0,1,17900000
Cocody,75,2,3,Appartement,5.7,2017,Bon état,0,1,30600000
Abobo,97,2,0,Duplex,1.5,2007,À rénover,0,0,10600000
Yopougon,21,3,1,Appartement,13.1,1982,Bon état,1,0,5000000
Abobo,64,3,0,Appartement,17.5,1985,Neuf,1,0,8000000
Cocody,83,3,1,Studio,15.2,2002,Bon état,0,1,31900000
Port-Bouet,41,2,1,Duplex,4.5,1986,Neuf,1,1,7100000
Treichville,89,2,0,Appartement,11.4,2015,Bon état,1,1,17200000
Treichville,67,2,4,Appartement,0.8,1980,Bon état,0,0,16400000
Koumassi,177,5,0,Appartement,0.5,1985,À rénover,1,1,30300000
Plateau,162,2,3,Appartement,11.2,2003,Bon état,1,0,48300000
Koumassi,58,2,5,Appartement,4.4,2016,Neuf,1,1,8100000
Cocody,68,2,0,Duplex,40.0,2015,Bon état,0,1,22500000
Cocody,71,3,2,Villa,0.8,2003,Bon état,1,0,27900000
Yopougon,59,2,0,Studio,15.5,2017,Bon état,1,1,8400000
Yopougon,81,4,0,Studio,5.2,2008,À rénover,1,1,15600000
Koumassi,50,2,1,Villa,14.0,2016,Bon état,0,1,6000000
Adjamé,42,4,4,Studio,13.6,2011,Neuf,1,0,7300000
Yopougon,101,1,0,Villa,19.8,2004,À rénover,0,0,12600000
Marcory,101,3,2,Appartement,2.8,1989,Neuf,1,1,23000000
Treichville,49,4,1,Villa,23.9,2014,Neuf,0,1,11700000
Yopougon,115,2,3,Villa,1.3,2004,Bon état,0,0,17800000
Yopougon,54,5,0,Studio,0.7,2006,À rénover,1,1,8600000
Plateau,84,2,2,Duplex,4.5,2011,Bon état,0,0,32400000
Koumassi,111,4,2,Appartement,14.1,1991,Bon état,1,1,19100000
Adjamé,72,3,2,Studio,5.1,1983,Bon état,0,0,10800000
Marcory,93,2,4,Appartement,14.1,2021,Bon état,0,0,19700000
Cocody,57,2,3,Studio,10.5,2005,Bon état,1,0,16900000
Adjamé,67,2,0,Appartement,1.9,1982,Bon état,1,0,10600000
Adjamé,66,1,1,Appartement,23.8,1996,Bon état,0,1,9900000
Marcory,51,1,1,Appartement,0.5,1988,À rénover,1,1,10300000
Treichville,67,1,1,Villa,18.3,2008,Bon état,0,0,11900000
Plateau,34,2,1,Appartement,2.9,1980,Neuf,1,0,15300000
Yopougon,58,3,1,Duplex,5.5,1997,À rénover,1,1,7200000
Treichville,64,1,1,Appartement,4.4,2020,Bon état,0,0,10800000
Yopougon,65,1,5,Duplex,1.5,1999,À rénover,1,1,12000000
Abobo,65,3,0,Villa,3.5,2020,Neuf,0,1,7000000
Yopougon,71,2,4,Appartement,1.7,2013,Neuf,0,1,7900000
Marcory,94,1,1,Appartement,1.8,2007,Bon état,1,1,20900000
Treichville,114,2,2,Villa,1.7,2014,Bon état,1,0,16100000
Yopougon,53,4,3,Villa,5.4,1995,Bon état,1,1,8200000
Port-Bouet,40,4,1,Villa,12.8,2000,Bon état,1,1,10500000
Marcory,44,2,1,Appartement,6.7,1992,Neuf,1,0,7300000
Marcory,58,3,1,Appartement,17.9,2014,Bon état,1,1,9500000
Cocody,62,3,1,Duplex,8.1,2021,Bon état,0,1,15600000
Adjamé,50,3,4,Appartement,9.4,2011,Bon état,1,0,9900000
Yopougon,39,3,3,Appartement,8.8,2017,Bon état,1,0,6900000
Port-Bouet,59,3,0,Appartement,4.8,1985,Bon état,1,1,10100000
Yopougon,81,2,0,Studio,9.4,2017,Bon état,1,0,12500000
Treichville,99,1,1,Studio,0.6,2017,Bon état,0,0,22700000
Plateau,56,2,0,Appartement,15.7,1992,Bon état,1,0,26800000
Port-Bouet,60,4,2,Appartement,12.0,2018,Neuf,0,0,11500000
Koumassi,46,3,0,Appartement,2.3,1992,Bon état,1,0,5000000
Koumassi,73,4,1,Appartement,11.7,1991,À rénover,1,1,11100000
Port-Bouet,48,5,0,Appartement,0.5,2012,Bon état,1,0,9500000
Koumassi,98,2,1,Duplex,2.0,2007,Neuf,1,1,14200000
Abobo,30,3,2,Appartement,0.5,1982,À rénover,1,0,5000000
Plateau,62,3,1,Appartement,12.1,1997,Bon état,1,0,29400000
Cocody,86,5,5,Studio,11.3,2005,Neuf,1,0,37900000
Port-Bouet,81,5,3,Appartement,13.4,2019,Bon état,1,0,16700000
Abobo,283,3,1,Villa,0.5,1981,Bon état,1,0,42100000
Koumassi,88,2,0,Appartement,5.6,1983,Bon état,0,1,14000000
Yopougon,45,3,3,Appartement,9.8,2007,Bon état,0,1,6900000
Cocody,70,1,4,Duplex,1.4,2007,Bon état,1,0,22300000
Plateau,30,3,3,Villa,8.4,2004,Neuf,1,0,12300000
Adjamé,71,4,0,Appartement,0.7,2005,Bon état,1,0,17300000
Yopougon,49,2,5,Villa,1.6,1981,Bon état,0,1,5400000
Marcory,116,3,0,Duplex,5.2,2021,Bon état,1,1,24800000
Yopougon,56,2,2,Appartement,8.5,2013,Neuf,1,0,7700000
Cocody,70,2,4,Villa,1.3,2009,Neuf,0,0,22600000
Abobo,54,2,0,Duplex,1.6,2000,Bon état,1,1,7600000
Marcory,176,3,4,Appartement,1.8,2023,À rénover,1,0,40700000
Koumassi,63,4,1,Villa,2.2,2016,Bon état,1,1,8600000
Marcory,184,4,5,Villa,2.1,2023,Bon état,0,0,51400000
Yopougon,111,2,0,Villa,4.0,2002,Neuf,0,1,17300000
Cocody,94,4,4,Appartement,8.5,2012,Bon état,0,1,23100000
Cocody,89,3,0,Appartement,4.6,1981,Neuf,0,1,28900000
Yopougon,90,2,2,Villa,12.0,2006,Bon état,0,1,9600000
Yopougon,28,1,1,Appartement,10.2,2001,Bon état,1,0,5000000
Abobo,64,2,1,Appartement,1.1,2013,À rénover,0,0,6600000
Marcory,112,4,0,Appartement,0.5,1995,Bon état,1,0,31100000
Adjamé,72,3,2,Appartement,16.8,1999,À rénover,1,1,12700000
Port-Bouet,37,3,0,Duplex,0.7,2005,Bon état,0,1,5500000
Koumassi,72,2,2,Appartement,1.3,1995,Neuf,1,0,12300000
Cocody,173,3,0,Duplex,0.5,1985,À rénover,1,0,44100000
Yopougon,137,1,4,Appartement,7.9,2023,Bon état,1,1,18700000
Cocody,71,2,0,Villa,7.0,2002,À rénover,0,1,18800000
Marcory,119,3,0,Appartement,34.7,2021,Neuf,1,1,26100000
Treichville,61,1,0,Studio,17.4,2016,Bon état,0,0,12500000
Plateau,31,4,1,Studio,4.2,1987,Bon état,1,0,14500000
Yopougon,46,2,0,Appartement,3.7,1985,Neuf,0,0,7800000
Abobo,161,3,1,Duplex,2.8,2016,Bon état,1,1,20300000
Adjamé,64,2,3,Appartement,1.3,2001,Bon état,0,1,10800000
Abobo,65,3,2,Villa,1.2,1985,Neuf,0,1,7700000
Cocody,63,1,2,Duplex,1.1,2011,Bon état,1,1,18100000
Yopougon,191,1,0,Studio,1.0,1996,Bon état,1,1,26500000
Abobo,166,4,2,Duplex,2.2,2017,Neuf,1,1,22300000
Cocody,223,2,0,Appartement,2.9,1996,Bon état,0,1,49200000
Yopougon,68,4,3,Appartement,26.1,2016,Bon état,1,1,11500000
Cocody,85,5,0,Appartement,6.9,2002,Bon état,1,0,33100000
Cocody,35,2,1,Villa,35.1,1992,À rénover,0,1,9500000
Yopougon,154,2,1,Studio,3.7,2011,Bon état,1,0,17500000
Plateau,41,3,3,Appartement,4.9,2001,Bon état,1,0,20300000
Abobo,82,5,0,Villa,3.1,1986,Bon état,0,1,12800000
Adjamé,43,4,2,Appartement,1.6,2001,À rénover,1,1,7700000
Koumassi,55,3,0,Appartement,1.2,2000,Neuf,1,1,7400000
Marcory,48,3,2,Villa,23.2,1985,Bon état,1,0,9800000
Plateau,54,1,4,Appartement,34.6,1993,Bon état,0,1,22600000
Cocody,56,5,1,Studio,0.5,1995,Bon état,1,1,21100000
Abobo,56,5,1,Appartement,1.3,1982,Bon état,0,0,7500000
Adjamé,112,2,4,Studio,4.4,1988,À rénover,1,1,19500000
Cocody,42,2,1,Appartement,1.6,2000,À rénover,0,0,11100000
Port-Bouet,82,1,1,Appartement,3.6,2009,Bon état,1,0,16100000
Cocody,136,2,2,Villa,1.1,2009,Bon état,1,1,49500000
Abobo,57,4,2,Studio,4.9,2021,À rénover,0,0,7200000
Adjamé,51,2,0,Appartement,2.5,2021,Bon état,1,0,7500000
Port-Bouet,66,1,3,Appartement,3.5,2011,Bon état,1,0,6400000
Adjamé,133,2,1,Villa,0.8,2002,Bon état,0,0,16800000
Koumassi,81,5,0,Appartement,4.5,1982,Bon état,1,0,12000000
Yopougon,57,3,3,Studio,32.7,1980,Bon état,1,0,8800000
Koumassi,94,2,1,Studio,3.2,1982,À rénover,0,0,13500000
Cocody,42,2,0,Appartement,16.7,2016,Neuf,1,0,10100000
Port-Bouet,104,5,2,Appartement,14.8,1986,Neuf,1,0,21000000
Abobo,90,4,3,Studio,24.3,1982,Bon état,0,0,13200000
Koumassi,63,2,3,Appartement,12.5,2015,Bon état,1,1,10300000
Yopougon,48,1,4,Villa,8.6,1982,Neuf,0,1,5000000
Adjamé,47,1,3,Appartement,15.5,1983,Bon état,1,0,6900000
Abobo,96,1,0,Villa,0.6,2010,Bon état,1,1,8400000
Adjamé,136,3,1,Appartement,5.0,1981,À rénover,0,1,26900000
Cocody,54,4,3,Studio,36.3,1993,Bon état,1,1,21000000
Cocody,93,2,1,Appartement,11.7,2016,À rénover,1,0,24300000
Marcory,26,4,2,Appartement,26.2,2010,Bon état,0,1,5700000
Plateau,55,2,2,Studio,12.1,1981,Bon état,1,0,19400000
Port-Bouet,73,3,1,Appartement,16.6,2010,Bon état,1,0,9000000
Marcory,47,3,4,Appartement,9.8,2022,Neuf,1,0,11500000
Treichville,46,2,1,Appartement,11.4,2001,Bon état,1,0,9100000
Yopougon,53,2,1,Appartement,5.9,1989,Bon état,0,1,8500000
Plateau,85,3,5,Duplex,20.6,2009,Neuf,0,1,28800000
Koumassi,67,1,1,Studio,13.9,2012,Bon état,1,1,8500000
Adjamé,24,2,0,Appartement,14.9,1998,Bon état,1,0,5000000
Yopougon,26,3,1,Villa,8.9,2004,Bon état,1,0,5000000
Abobo,54,5,3,Villa,2.9,1980,Neuf,0,0,6500000
Adjamé,93,2,3,Duplex,0.5,2011,Neuf,1,0,17300000
Marcory,20,4,3,Appartement,21.9,2004,Bon état,1,1,5000000
Treichville,57,2,2,Villa,7.1,2020,Bon état,0,1,11900000
Treichville,57,3,0,Villa,2.8,1996,Bon état,0,1,11800000
Adjamé,148,3,3,Appartement,1.3,1993,Neuf,1,1,20800000
Plateau,61,4,3,Appartement,14.2,1992,Bon état,0,0,25800000
Adjamé,89,2,0,Appartement,14.5,2017,Bon état,0,0,15700000
Cocody,79,3,0,Studio,13.5,2018,Bon état,1,0,21000000
Cocody,25,3,5,Appartement,8.3,1981,À rénover,1,0,9100000
Marcory,108,2,3,Duplex,3.6,2011,Neuf,1,1,20400000
Yopougon,82,1,3,Appartement,2.9,2011,À rénover,1,0,9900000
Port-Bouet,95,1,3,Villa,0.5,2019,Bon état,1,0,16400000
Adjamé,500,1,1,Duplex,14.3,1985,À rénover,1,1,67500000
Koumassi,26,4,2,Villa,0.7,2004,Bon état,0,1,5000000
Yopougon,175,2,1,Studio,8.0,1982,Bon état,0,0,23400000
Yopougon,64,2,0,Studio,5.6,1997,Bon état,0,1,9200000
Yopougon,85,3,2,Appartement,6.0,2017,Bon état,0,0,8200000
Treichville,72,2,1,Villa,20.9,2022,À rénover,0,1,10700000
Cocody,60,3,2,Appartement,0.5,1982,Bon état,0,0,21300000
Port-Bouet,55,2,1,Villa,11.9,1984,À rénover,0,0,11000000
Abobo,87,5,1,Appartement,0.5,2003,Bon état,0,1,10900000
Yopougon,35,4,0,Villa,0.5,2013,Bon état,1,0,5400000
Adjamé,107,4,0,Villa,4.5,2018,Neuf,0,1,20800000
Yopougon,60,2,0,Appartement,0.5,2003,À rénover,1,1,9300000
Port-Bouet,42,3,0,Appartement,12.5,2015,Bon état,0,0,5400000
Port-Bouet,59,1,5,Duplex,6.0,2007,Bon état,1,1,8200000
Yopougon,138,1,0,Appartement,0.5,2013,Bon état,1,1,17000000
Marcory,56,1,0,Appartement,0.5,1995,Bon état,1,0,12400000
Abobo,88,3,2,Appartement,7.6,2015,À rénover,1,1,15400000
Port-Bouet,51,2,2,Duplex,13.1,1986,Neuf,1,1,8500000
Marcory,108,3,0,Duplex,4.6,1997,Bon état,0,1,19800000
Abobo,104,1,3,Villa,6.5,1985,Neuf,1,1,12100000
Abobo,186,2,3,Studio,12.9,2007,Bon état,1,1,26500000
Adjamé,68,3,0,Appartement,7.5,2018,Neuf,1,1,12000000
Plateau,103,2,0,Duplex,2.0,2013,Neuf,0,1,33600000
Adjamé,77,3,4,Appartement,7.6,2020,Bon état,1,0,15300000
Port-Bouet,141,2,3,Appartement,7.9,2008,Bon état,1,0,26800000
Plateau,51,4,2,Appartement,10.6,1983,Bon état,1,0,18700000
Marcory,107,3,0,Villa,7.8,1993,Neuf,1,1,26200000
Treichville,67,2,1,Studio,27.9,1984,À rénover,0,1,15800000
Plateau,71,2,2,Appartement,1.8,2004,À rénover,0,0,31600000
Port-Bouet,77,3,0,Duplex,24.1,2018,Bon état,1,0,14100000
Yopougon,84,4,1,Appartement,6.2,1987,Bon état,0,0,12800000
Marcory,70,2,2,Appartement,8.9,1994,Bon état,0,0,17900000
Port-Bouet,82,2,1,Appartement,0.8,1998,Bon état,0,1,11600000
Yopougon,162,4,3,Villa,3.8,1990,Bon état,0,1,27800000
Abobo,121,3,3,Studio,11.7,1999,Bon état,1,1,12300000
Yopougon,114,2,1,Appartement,9.8,2015,Bon état,0,0,18600000
Abobo,59,2,3,Villa,0.5,1997,Bon état,1,1,6700000
Plateau,47,2,0,Appartement,6.3,1993,À rénover,1,1,21100000
Yopougon,119,3,3,Villa,0.7,2017,Bon état,1,1,19300000
Treichville,114,2,0,Duplex,40.0,2004,Bon état,0,1,19100000
Marcory,154,5,0,Appartement,18.2,1995,Neuf,1,0,49300000
Adjamé,54,2,2,Studio,0.5,1997,Bon état,1,0,10800000
Yopougon,66,2,1,Villa,15.7,1980,Bon état,1,1,10500000
Koumassi,32,3,4,Appartement,20.1,2019,Bon état,1,1,5000000
Plateau,61,4,1,Duplex,3.5,1980,Bon état,1,1,25300000
Treichville,121,4,0,Appartement,10.2,1980,Bon état,1,0,29100000
Yopougon,58,2,1,Appartement,4.7,2000,Bon état,0,1,7300000
Marcory,102,3,1,Appartement,8.5,2004,Bon état,0,0,29700000
Cocody,67,3,1,Appartement,3.3,2006,À rénover,1,1,22200000
Plateau,87,2,2,Studio,3.1,1989,Bon état,0,1,19600000
Abobo,42,2,3,Villa,4.4,1991,Neuf,0,1,5200000
Yopougon,77,2,3,Duplex,1.3,2007,Bon état,1,1,10200000
Koumassi,20,2,5,Appartement,14.2,2011,Neuf,0,0,5000000
Yopougon,67,4,0,Appartement,3.4,2012,À rénover,1,0,10200000
Marcory,33,2,2,Appartement,4.1,1987,Bon état,1,0,8000000
Abobo,135,5,1,Villa,18.0,2021,Bon état,0,0,22900000
Adjamé,109,3,2,Duplex,5.5,2005,Neuf,0,1,19800000
Plateau,93,3,1,Villa,6.3,2021,Bon état,0,0,35800000
Plateau,158,3,5,Appartement,25.1,2020,À rénover,0,1,63800000
Cocody,46,1,2,Studio,17.4,1981,Neuf,0,0,12900000
Adjamé,177,2,4,Studio,1.5,2014,Bon état,0,1,25200000
Adjamé,117,1,3,Appartement,5.1,2013,À rénover,1,1,19100000
Yopougon,65,3,4,Studio,28.4,1985,Bon état,0,0,10500000
Port-Bouet,130,2,3,Appartement,3.7,2010,Bon état,1,0,27700000
Koumassi,42,3,1,Appartement,3.7,2002,Bon état,1,0,8100000
Abobo,49,2,0,Appartement,1.7,1991,Bon état,1,1,5200000
Port-Bouet,54,2,1,Appartement,1.0,2007,Neuf,1,1,10500000
Marcory,57,2,0,Appartement,10.8,1994,Neuf,0,0,10600000
Cocody,43,4,1,Appartement,11.8,1998,Bon état,1,1,16500000
Marcory,136,3,1,Appartement,27.8,1991,À rénover,0,0,29100000
Cocody,65,2,1,Studio,11.9,1981,Neuf,0,1,16600000
Abobo,88,3,5,Duplex,2.2,1990,Bon état,1,0,11700000
Port-Bouet,55,1,4,Studio,0.5,2023,Bon état,0,1,5300000
Cocody,30,5,0,Appartement,33.8,2016,À rénover,0,1,8200000
Plateau,84,3,1,Appartement,3.3,2017,Bon état,1,1,33200000
Yopougon,28,2,1,Appartement,3.0,2004,À rénover,1,0,5000000
Port-Bouet,71,3,1,Appartement,18.9,2022,Neuf,0,0,12400000
Marcory,37,1,3,Villa,7.0,2000,À rénover,0,1,5600000
Abobo,199,5,1,Villa,1.9,2021,Bon état,1,0,25300000
Cocody,116,2,2,Villa,17.6,2015,Bon état,1,0,37100000
Plateau,78,3,3,Villa,40.0,1988,Bon état,0,1,34400000
Treichville,139,2,3,Appartement,0.7,1991,Bon état,1,0,28500000
Treichville,48,3,0,Appartement,15.9,1989,Neuf,1,0,12400000
Cocody,97,3,2,Villa,4.0,1984,Neuf,0,1,33400000
Treichville,81,3,1,Appartement,5.9,2012,Bon état,1,0,15900000
Abobo,84,3,0,Appartement,19.7,1984,À rénover,1,0,10300000
Port-Bouet,139,4,0,Appartement,29.0,1995,Bon état,0,1,21800000
Yopougon,106,1,1,Appartement,2.4,2016,Bon état,1,1,13600000
Abobo,85,2,1,Appartement,1.9,2016,Bon état,0,0,11800000
Yopougon,32,2,0,Studio,0.7,2008,Neuf,1,1,5000000
Adjamé,46,5,2,Studio,6.6,1997,À rénover,1,1,11000000
Plateau,69,2,3,Appartement,0.5,2008,Bon état,0,0,24900000
Cocody,77,3,0,Appartement,4.2,1985,Bon état,1,0,30100000
Marcory,42,3,0,Villa,0.6,1997,Bon état,1,0,9500000
Adjamé,246,2,3,Appartement,4.2,2011,À rénover,0,1,48600000
Marcory,157,2,0,Appartement,0.5,2021,À rénover,0,1,33800000
Adjamé,100,2,4,Appartement,14.4,2010,Bon état,0,0,17900000
Treichville,76,2,2,Appartement,1.9,1990,Bon état,1,1,19000000
Cocody,66,2,1,Studio,3.2,2005,Bon état,1,1,19400000
Adjamé,46,1,0,Studio,16.3,2007,Bon état,1,0,7100000
Yopougon,77,4,0,Appartement,11.0,2006,Bon état,1,1,14800000
Port-Bouet,84,5,0,Appartement,2.0,1998,Bon état,1,0,17400000
Plateau,40,2,0,Appartement,0.6,2006,Bon état,0,1,12100000
Adjamé,87,2,2,Appartement,10.1,1999,Bon état,0,1,18600000
Koumassi,68,1,0,Duplex,4.0,1982,Bon état,1,1,8800000
Treichville,28,3,1,Villa,11.6,1995,Bon état,1,1,6300000
Adjamé,48,4,2,Villa,4.7,2018,Bon état,1,1,10500000
Yopougon,60,1,0,Studio,3.4,2023,Bon état,1,1,7100000
Abobo,189,2,0,Studio,4.8,2008,Neuf,1,1,19100000
Port-Bouet,97,3,0,Studio,11.0,1994,Bon état,1,1,18700000
Abobo,38,3,0,Appartement,18.6,2009,À rénover,0,1,5000000
Cocody,94,1,2,Appartement,0.5,2019,Bon état,1,0,25200000
Port-Bouet,34,3,1,Villa,5.9,1980,Bon état,1,1,6500000
Adjamé,127,2,3,Appartement,0.5,2008,À rénover,1,1,19700000
Adjamé,58,2,1,Duplex,5.1,2009,Neuf,1,1,7200000
Marcory,70,3,1,Villa,17.3,2019,À rénover,1,1,20100000
Adjamé,143,4,1,Duplex,3.6,2011,Bon état,1,0,27000000
Yopougon,39,2,2,Appartement,21.6,1989,Neuf,0,0,6700000
Adjamé,37,4,0,Studio,8.0,2006,Bon état,1,0,6600000
Cocody,55,2,0,Appartement,21.8,1987,Bon état,1,1,14400000
Adjamé,124,3,2,Duplex,11.3,2015,Bon état,0,1,22400000
Treichville,34,2,1,Appartement,0.9,2021,Bon état,0,1,6800000
Cocody,20,4,1,Villa,2.1,2014,À rénover,1,0,5700000
Treichville,59,4,2,Studio,4.0,2015,Bon état,0,1,17000000
Yopougon,97,1,1,Appartement,1.5,2015,Bon état,1,1,11400000
Port-Bouet,134,4,2,Appartement,5.5,2004,Neuf,1,1,19200000
Koumassi,58,4,1,Duplex,5.1,1999,Neuf,0,0,12100000
Abobo,60,3,2,Appartement,25.0,1996,Bon état,1,1,7100000
Adjamé,131,2,2,Villa,4.5,2002,Neuf,1,1,19300000
Port-Bouet,29,4,1,Appartement,12.3,2004,Bon état,1,1,5000000
Yopougon,61,4,2,Studio,22.8,2010,Bon état,1,1,12400000
Yopougon,81,2,3,Villa,16.8,1985,Neuf,1,1,9200000
Adjamé,92,5,1,Appartement,1.9,2014,Bon état,0,0,18400000
Koumassi,57,1,1,Appartement,5.5,1983,Neuf,0,0,9100000
Koumassi,75,1,3,Villa,3.4,2019,Bon état,0,1,11200000
Koumassi,21,3,2,Appartement,4.1,1999,Bon état,1,0,5000000
Yopougon,53,3,0,Appartement,3.6,2020,Bon état,1,0,6000000
Koumassi,92,3,3,Villa,14.0,1980,Neuf,1,0,13100000
Plateau,45,1,0,Appartement,4.8,2005,Bon état,1,1,16200000
Abobo,76,5,2,Appartement,5.9,2013,Neuf,0,1,9700000
Cocody,92,1,3,Villa,32.3,1989,Bon état,0,0,26500000
Yopougon,62,1,4,Appartement,0.5,2002,Bon état,1,1,8900000
Yopougon,80,1,0,Appartement,5.4,2003,Bon état,1,1,11900000
Yopougon,46,3,2,Appartement,11.9,1992,À rénover,1,0,5700000
Adjamé,66,4,1,Villa,1.3,2008,Bon état,0,0,16300000
Yopougon,100,3,1,Villa,7.6,2006,Neuf,1,1,16800000
Yopougon,80,4,0,Villa,2.2,2010,Bon état,1,1,12900000
Marcory,55,1,2,Appartement,16.2,2022,À rénover,1,0,12800000
Yopougon,82,3,1,Appartement,3.2,1989,Neuf,0,0,16800000
Marcory,105,2,0,Appartement,3.2,2010,Bon état,1,0,17800000
Cocody,26,2,2,Appartement,7.3,2018,Bon état,1,0,7600000
Abobo,132,1,2,Duplex,1.6,1989,Bon état,1,0,9300000
Adjamé,62,3,3,Appartement,2.7,2003,Bon état,0,1,11100000
Abobo,91,3,4,Appartement,4.3,2012,Bon état,0,1,12200000
Yopougon,134,3,1,Appartement,3.5,1993,Bon état,1,1,20100000
Yopougon,37,2,4,Villa,6.0,2014,À rénover,0,0,5000000
Port-Bouet,52,1,3,Villa,7.3,2013,Bon état,1,1,5800000
Abobo,64,3,0,Villa,6.7,1996,Bon état,0,0,8600000
Yopougon,50,2,0,Studio,8.5,2000,Bon état,0,0,8600000
Cocody,175,4,1,Appartement,2.9,2011,Bon état,1,1,55400000
Yopougon,48,3,1,Appartement,1.1,1982,À rénover,1,1,7700000
Yopougon,56,2,2,Appartement,11.4,1994,Bon état,1,0,6000000
Yopougon,82,5,2,Villa,15.2,1987,Bon état,1,1,15000000
Abobo,40,3,2,Villa,2.4,2011,À rénover,0,1,5000000
Abobo,60,1,1,Villa,4.2,2017,Bon état,1,1,5800000
Abobo,86,3,0,Villa,5.5,2005,Neuf,0,1,9700000
Koumassi,62,2,3,Villa,6.1,2009,Bon état,1,1,8800000
Koumassi,70,4,1,Studio,8.6,1988,À rénover,0,1,12800000
Adjamé,57,4,5,Villa,0.5,2011,À rénover,0,1,8500000
Treichville,35,5,0,Studio,10.2,1990,Bon état,0,0,8300000
Cocody,87,3,4,Appartement,0.5,2001,Bon état,0,0,28100000
Plateau,177,2,0,Villa,5.1,2013,À rénover,1,1,55900000
Cocody,74,3,0,Duplex,14.1,2020,Bon état,1,1,30500000
Adjamé,82,1,0,Appartement,4.8,1997,À rénover,1,0,10700000
Port-Bouet,104,3,2,Studio,1.3,1998,Bon état,1,1,17400000
Marcory,39,3,3,Villa,33.6,1997,Neuf,0,0,7700000
Port-Bouet,173,1,1,Appartement,17.6,2016,Bon état,0,1,35100000
Cocody,82,2,4,Villa,11.8,1997,Bon état,0,0,26900000
Port-Bouet,167,4,2,Appartement,4.2,1991,Bon état,0,0,28500000
Yopougon,51,4,2,Duplex,1.6,1983,À rénover,1,1,9600000
Cocody,183,1,3,Studio,22.7,2022,Bon état,1,0,52800000
Yopougon,109,1,0,Appartement,6.1,2006,À rénover,0,0,14700000
Marcory,97,2,1,Appartement,15.3,1984,Bon état,0,1,19900000
Marcory,83,4,4,Villa,3.3,1985,Bon état,0,1,18300000
Marcory,65,1,4,Appartement,3.3,1992,À rénover,0,1,13700000
Koumassi,134,3,5,Appartement,33.9,2002,Bon état,0,1,20000000
Abobo,79,1,4,Villa,5.9,2021,Bon état,1,0,11100000
Marcory,28,3,0,Appartement,1.2,2004,Bon état,0,1,5300000
Abobo,42,2,3,Appartement,2.0,1983,Bon état,1,1,6100000
Adjamé,67,3,1,Studio,5.3,2011,Bon état,0,1,11500000
